2024-10-03 12:04:50 - Value retrieved: bar, Response time: 0.0815 seconds
2024-10-03 12:06:53 - Value retrieved: bar, Response time: 0.0699 seconds
2024-10-03 12:06:55 - Value retrieved: bar, Response time: 0.0711 seconds
2024-10-03 12:06:57 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-03 12:06:59 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:07:01 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-03 12:07:03 - Value retrieved: bar, Response time: 0.0697 seconds
2024-10-03 12:07:05 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:07:07 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:07:09 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:07:11 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:07:13 - Value retrieved: bar, Response time: 0.0698 seconds
2024-10-03 12:07:15 - Value retrieved: bar, Response time: 0.0691 seconds
2024-10-03 12:07:17 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:07:19 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:07:21 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:07:23 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:07:25 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:07:27 - Value retrieved: bar, Response time: 0.0689 seconds
2024-10-03 12:07:29 - Value retrieved: bar, Response time: 0.0691 seconds
2024-10-03 12:07:31 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:07:33 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:07:35 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:07:37 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:07:38 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:07:40 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:07:42 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:07:44 - Value retrieved: bar, Response time: 0.0997 seconds
2024-10-03 12:07:46 - Value retrieved: bar, Response time: 0.0692 seconds
2024-10-03 12:07:48 - Value retrieved: bar, Response time: 0.0864 seconds
2024-10-03 12:07:50 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:07:52 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:07:54 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:07:56 - Value retrieved: bar, Response time: 0.0699 seconds
2024-10-03 12:07:58 - Value retrieved: bar, Response time: 0.0700 seconds
2024-10-03 12:08:00 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:08:02 - Value retrieved: bar, Response time: 0.0694 seconds
2024-10-03 12:08:04 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:08:06 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:08:08 - Value retrieved: bar, Response time: 0.0688 seconds
2024-10-03 12:08:10 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:08:12 - Value retrieved: bar, Response time: 0.0700 seconds
2024-10-03 12:08:14 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:08:16 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-03 12:08:18 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:08:20 - Value retrieved: bar, Response time: 0.0737 seconds
2024-10-03 12:08:22 - Value retrieved: bar, Response time: 0.0711 seconds
2024-10-03 12:08:24 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:08:26 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:08:28 - Value retrieved: bar, Response time: 0.0694 seconds
2024-10-03 12:08:30 - Value retrieved: bar, Response time: 0.0693 seconds
2024-10-03 12:08:32 - Value retrieved: bar, Response time: 0.0746 seconds
2024-10-03 12:08:34 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:08:36 - Value retrieved: bar, Response time: 0.0711 seconds
2024-10-03 12:08:38 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:08:40 - Value retrieved: bar, Response time: 0.0692 seconds
2024-10-03 12:08:42 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:08:44 - Value retrieved: bar, Response time: 0.0735 seconds
2024-10-03 12:08:46 - Value retrieved: bar, Response time: 0.0804 seconds
2024-10-03 12:08:48 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:08:50 - Value retrieved: bar, Response time: 0.0700 seconds
2024-10-03 12:08:52 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:08:54 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:08:56 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:08:58 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:09:00 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:09:02 - Value retrieved: bar, Response time: 0.0711 seconds
2024-10-03 12:09:04 - Value retrieved: bar, Response time: 0.0710 seconds
2024-10-03 12:09:06 - Value retrieved: bar, Response time: 0.0742 seconds
2024-10-03 12:09:08 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:09:10 - Value retrieved: bar, Response time: 0.0768 seconds
2024-10-03 12:09:12 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:09:14 - Value retrieved: bar, Response time: 0.0716 seconds
2024-10-03 12:09:16 - Value retrieved: bar, Response time: 0.0693 seconds
2024-10-03 12:09:18 - Value retrieved: bar, Response time: 0.0778 seconds
2024-10-03 12:09:20 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:09:22 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:09:24 - Value retrieved: bar, Response time: 0.0693 seconds
2024-10-03 12:09:25 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:09:27 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:09:29 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:09:31 - Value retrieved: bar, Response time: 0.0694 seconds
2024-10-03 12:09:33 - Value retrieved: bar, Response time: 0.0699 seconds
2024-10-03 12:09:35 - Value retrieved: bar, Response time: 0.0700 seconds
2024-10-03 12:09:37 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:09:39 - Value retrieved: bar, Response time: 0.0712 seconds
2024-10-03 12:09:41 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:09:43 - Value retrieved: bar, Response time: 0.0688 seconds
2024-10-03 12:09:45 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:09:47 - Value retrieved: bar, Response time: 0.0696 seconds
2024-10-03 12:09:49 - Value retrieved: bar, Response time: 0.0693 seconds
2024-10-03 12:09:51 - Value retrieved: bar, Response time: 0.0776 seconds
2024-10-03 12:09:53 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:09:55 - Value retrieved: bar, Response time: 0.0724 seconds
2024-10-03 12:09:57 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:09:59 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:10:01 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:10:03 - Value retrieved: bar, Response time: 0.0692 seconds
2024-10-03 12:10:05 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:10:07 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:10:09 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:10:11 - Value retrieved: bar, Response time: 0.0690 seconds
2024-10-03 12:10:13 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:10:15 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:10:17 - Value retrieved: bar, Response time: 0.0689 seconds
2024-10-03 12:10:19 - Value retrieved: bar, Response time: 0.0710 seconds
2024-10-03 12:10:21 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:10:23 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:10:25 - Value retrieved: bar, Response time: 0.0693 seconds
2024-10-03 12:10:27 - Value retrieved: bar, Response time: 0.0826 seconds
2024-10-03 12:10:29 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:10:31 - Value retrieved: bar, Response time: 0.0728 seconds
2024-10-03 12:10:33 - Value retrieved: bar, Response time: 0.0694 seconds
2024-10-03 12:10:35 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:10:37 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:10:39 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:10:41 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:10:43 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:10:45 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:10:47 - Value retrieved: bar, Response time: 0.0692 seconds
2024-10-03 12:10:49 - Value retrieved: bar, Response time: 0.0690 seconds
2024-10-03 12:10:51 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:10:53 - Value retrieved: bar, Response time: 0.0694 seconds
2024-10-03 12:10:55 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:10:56 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:10:58 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:11:00 - Value retrieved: bar, Response time: 0.0754 seconds
2024-10-03 12:11:03 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:11:05 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:11:07 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:11:08 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:11:11 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:11:12 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:11:14 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:11:16 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:11:18 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:11:20 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:11:22 - Value retrieved: bar, Response time: 0.0693 seconds
2024-10-03 12:11:24 - Value retrieved: bar, Response time: 0.0721 seconds
2024-10-03 12:11:26 - Value retrieved: bar, Response time: 0.0740 seconds
2024-10-03 12:11:28 - Value retrieved: bar, Response time: 0.0690 seconds
2024-10-03 12:11:30 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:11:32 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:11:34 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:11:36 - Value retrieved: bar, Response time: 0.0694 seconds
2024-10-03 12:11:38 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:11:40 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:11:42 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:11:44 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:11:46 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:11:48 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:11:50 - Value retrieved: bar, Response time: 0.0692 seconds
2024-10-03 12:11:52 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:11:54 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-03 12:11:56 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:11:58 - Value retrieved: bar, Response time: 0.0699 seconds
2024-10-03 12:12:00 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:12:02 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:12:04 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:12:06 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:12:08 - Value retrieved: bar, Response time: 0.0698 seconds
2024-10-03 12:12:10 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:12:12 - Value retrieved: bar, Response time: 0.0700 seconds
2024-10-03 12:12:14 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:12:16 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:12:18 - Value retrieved: bar, Response time: 0.0700 seconds
2024-10-03 12:12:20 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:12:22 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:12:24 - Value retrieved: bar, Response time: 0.0694 seconds
2024-10-03 12:12:26 - Value retrieved: bar, Response time: 0.0695 seconds
2024-10-03 12:12:28 - Value retrieved: bar, Response time: 0.0802 seconds
2024-10-03 12:12:30 - Value retrieved: bar, Response time: 0.0691 seconds
2024-10-03 12:12:32 - Value retrieved: bar, Response time: 0.0800 seconds
2024-10-03 12:12:34 - Value retrieved: bar, Response time: 0.0712 seconds
2024-10-03 12:12:36 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:12:38 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-03 12:12:40 - Value retrieved: bar, Response time: 0.0781 seconds
2024-10-03 12:12:42 - Value retrieved: bar, Response time: 0.0698 seconds
2024-10-03 12:12:44 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:12:46 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:12:48 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:12:50 - Value retrieved: bar, Response time: 0.0700 seconds
2024-10-03 12:12:52 - Value retrieved: bar, Response time: 0.0695 seconds
2024-10-03 12:12:54 - Value retrieved: bar, Response time: 0.0693 seconds
2024-10-03 12:12:56 - Value retrieved: bar, Response time: 0.0774 seconds
2024-10-03 12:12:58 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:13:00 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:13:02 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:13:03 - Value retrieved: bar, Response time: 0.0699 seconds
2024-10-03 12:13:05 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:13:07 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:13:09 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-03 12:13:11 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:13:13 - Value retrieved: bar, Response time: 0.0777 seconds
2024-10-03 12:13:15 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:13:17 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:13:19 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:13:21 - Value retrieved: bar, Response time: 0.0711 seconds
2024-10-03 12:13:23 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:13:25 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:13:27 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:13:29 - Value retrieved: bar, Response time: 0.0689 seconds
2024-10-03 12:13:31 - Value retrieved: bar, Response time: 0.0739 seconds
2024-10-03 12:13:33 - Value retrieved: bar, Response time: 0.0700 seconds
2024-10-03 12:13:35 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:13:37 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:13:39 - Value retrieved: bar, Response time: 0.0698 seconds
2024-10-03 12:13:41 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:13:43 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:13:45 - Value retrieved: bar, Response time: 0.0693 seconds
2024-10-03 12:13:47 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:13:49 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:13:51 - Value retrieved: bar, Response time: 0.0804 seconds
2024-10-03 12:13:53 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:13:55 - Value retrieved: bar, Response time: 0.0691 seconds
2024-10-03 12:13:57 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:13:59 - Value retrieved: bar, Response time: 0.0689 seconds
2024-10-03 12:14:01 - Value retrieved: bar, Response time: 0.0695 seconds
2024-10-03 12:14:03 - Value retrieved: bar, Response time: 0.0689 seconds
2024-10-03 12:14:05 - Value retrieved: bar, Response time: 0.0687 seconds
2024-10-03 12:14:07 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:14:09 - Value retrieved: bar, Response time: 0.0748 seconds
2024-10-03 12:14:11 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:14:13 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:14:15 - Value retrieved: bar, Response time: 0.0692 seconds
2024-10-03 12:14:17 - Value retrieved: bar, Response time: 0.0710 seconds
2024-10-03 12:14:19 - Value retrieved: bar, Response time: 0.0688 seconds
2024-10-03 12:14:21 - Value retrieved: bar, Response time: 0.0700 seconds
2024-10-03 12:14:23 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:14:25 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:14:27 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:14:29 - Value retrieved: bar, Response time: 0.0728 seconds
2024-10-03 12:14:31 - Value retrieved: bar, Response time: 0.0692 seconds
2024-10-03 12:14:33 - Value retrieved: bar, Response time: 0.0692 seconds
2024-10-03 12:14:35 - Value retrieved: bar, Response time: 0.0699 seconds
2024-10-03 12:14:37 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:14:39 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:14:41 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:14:43 - Value retrieved: bar, Response time: 0.0694 seconds
2024-10-03 12:14:45 - Value retrieved: bar, Response time: 0.0696 seconds
2024-10-03 12:14:47 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-03 12:14:48 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:14:50 - Value retrieved: bar, Response time: 0.0694 seconds
2024-10-03 12:14:52 - Value retrieved: bar, Response time: 0.0692 seconds
2024-10-03 12:14:54 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:14:56 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:14:58 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:15:00 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:15:02 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:15:04 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:15:06 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:15:08 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:15:10 - Value retrieved: bar, Response time: 0.0709 seconds
2024-10-03 12:15:12 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:15:14 - Value retrieved: bar, Response time: 0.0695 seconds
2024-10-03 12:15:16 - Value retrieved: bar, Response time: 0.0720 seconds
2024-10-03 12:15:18 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:15:20 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:15:22 - Value retrieved: bar, Response time: 0.0734 seconds
2024-10-03 12:15:24 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:15:26 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:15:28 - Value retrieved: bar, Response time: 0.0700 seconds
2024-10-03 12:15:30 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:15:32 - Value retrieved: bar, Response time: 0.0696 seconds
2024-10-03 12:15:34 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:15:36 - Value retrieved: bar, Response time: 0.0690 seconds
2024-10-03 12:15:38 - Value retrieved: bar, Response time: 0.0691 seconds
2024-10-03 12:15:40 - Value retrieved: bar, Response time: 0.0689 seconds
2024-10-03 12:15:41 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:15:43 - Value retrieved: bar, Response time: 0.0692 seconds
2024-10-03 12:15:45 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:15:47 - Value retrieved: bar, Response time: 0.0695 seconds
2024-10-03 12:15:48 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:15:50 - Value retrieved: bar, Response time: 0.0685 seconds
2024-10-03 12:15:52 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:15:54 - Value retrieved: bar, Response time: 0.0690 seconds
2024-10-03 12:15:55 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:15:57 - Value retrieved: bar, Response time: 0.0699 seconds
2024-10-03 12:15:59 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:16:01 - Value retrieved: bar, Response time: 0.0691 seconds
2024-10-03 12:16:03 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:16:05 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:16:07 - Value retrieved: bar, Response time: 0.0693 seconds
2024-10-03 12:16:09 - Value retrieved: bar, Response time: 0.0691 seconds
2024-10-03 12:16:11 - Value retrieved: bar, Response time: 0.0870 seconds
2024-10-03 12:16:13 - Value retrieved: bar, Response time: 0.0716 seconds
2024-10-03 12:16:15 - Value retrieved: bar, Response time: 0.0694 seconds
2024-10-03 12:16:17 - Value retrieved: bar, Response time: 0.0734 seconds
2024-10-03 12:16:19 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:16:21 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:16:23 - Value retrieved: bar, Response time: 0.0707 seconds
2024-10-03 12:16:25 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:16:27 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:16:29 - Value retrieved: bar, Response time: 0.0703 seconds
2024-10-03 12:16:31 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:16:33 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:16:35 - Value retrieved: bar, Response time: 0.0710 seconds
2024-10-03 12:16:37 - Value retrieved: bar, Response time: 0.0701 seconds
2024-10-03 12:16:39 - Value retrieved: bar, Response time: 0.0705 seconds
2024-10-03 12:16:40 - Value retrieved: bar, Response time: 0.0706 seconds
2024-10-03 12:16:42 - Value retrieved: bar, Response time: 0.0702 seconds
2024-10-03 12:16:44 - Value retrieved: bar, Response time: 0.0704 seconds
2024-10-03 12:16:46 - Value retrieved: bar, Response time: 0.0696 seconds
2024-10-03 12:16:47 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:16:49 - Value retrieved: bar, Response time: 0.0708 seconds
2024-10-03 12:16:51 - Value retrieved: bar, Response time: 0.0703 seconds
